Group,Region,Area,Season,%,95% CI
Children 5?12 yrs,HHS Region 1,Connecticut,2010-11,65.3,(±8.1)
Children 5?12 yrs,HHS Region 1,Connecticut,2011-12,65.5,(±6.5)
Children 5?12 yrs,HHS Region 1,Connecticut,2012-13,69,(±5.1)
Children 5?12 yrs,HHS Region 1,Connecticut,2013-14,70.7,(±4.3)
Children 5?12 yrs,HHS Region 1,Maine,2010-11,63.4,(±8.4)
Children 5?12 yrs,HHS Region 1,Maine,2011-12,60.9,(±6.2)
Children 5?12 yrs,HHS Region 1,Maine,2012-13,62.8,(±5.9)
Children 5?12 yrs,HHS Region 1,Maine,2013-14,64.4,(±4.6)
Children 5?12 yrs,HHS Region 1,Massachusetts,2010-11,64.2,(±7.4)
Children 5?12 yrs,HHS Region 1,Massachusetts,2011-12,71,(±6.4)
Children 5?12 yrs,HHS Region 1,Massachusetts,2012-13,78,(±4.7)
Children 5?12 yrs,HHS Region 1,Massachusetts,2013-14,72.4,(±4.8)
Children 5?12 yrs,HHS Region 1,New Hampshire,2010-11,59.8,(±8.8)
Children 5?12 yrs,HHS Region 1,New Hampshire,2011-12,61,(±5.5)
Children 5?12 yrs,HHS Region 1,New Hampshire,2012-13,62,(±5.9)
Children 5?12 yrs,HHS Region 1,New Hampshire,2013-14,66.7,(±5.4)
Children 5?12 yrs,HHS Region 1,Rhode Island,2010-11,80.7,(±6.3)
Children 5?12 yrs,HHS Region 1,Rhode Island,2011-12,79.6,(±6.8)
Children 5?12 yrs,HHS Region 1,Rhode Island,2012-13,81.1,(±7.0)
Children 5?12 yrs,HHS Region 1,Rhode Island,2013-14,80.3,(±4.0)
Children 5?12 yrs,HHS Region 1,Vermont,2010-11,56.8,(±10.7)‡‡
Children 5?12 yrs,HHS Region 1,Vermont,2011-12,56,(±7.2)
Children 5?12 yrs,HHS Region 1,Vermont,2012-13,64.3,(±5.8)
Children 5?12 yrs,HHS Region 1,Vermont,2013-14,61.2,(±4.8)
Children 5?12 yrs,HHS Region 2,New Jersey,2010-11,63.5,(±6.0)
Children 5?12 yrs,HHS Region 2,New Jersey,2011-12,69.3,(±6.1)
Children 5?12 yrs,HHS Region 2,New Jersey,2012-13,67.4,(±5.3)
Children 5?12 yrs,HHS Region 2,New Jersey,2013-14,70.2,(±4.1)
Children 5?12 yrs,HHS Region 2,New York,2010-11,62.3,(±6.2)
Children 5?12 yrs,HHS Region 2,New York,2011-12,57.3,(±5.1)
Children 5?12 yrs,HHS Region 2,New York,2012-13,64.7,(±3.8)
Children 5?12 yrs,HHS Region 2,New York,2013-14,67.5,(±3.3)
Children 5?12 yrs,HHS Region 3,Delaware,2010-11,56.9,(±10.9)‡‡
Children 5?12 yrs,HHS Region 3,Delaware,2011-12,61,(±8.6)
Children 5?12 yrs,HHS Region 3,Delaware,2012-13,67.1,(±10.3)‡‡
Children 5?12 yrs,HHS Region 3,Delaware,2013-14,70.4,(±5.3)
Children 5?12 yrs,HHS Region 3,District of Columbia,2010-11,60,(±22.6)‡‡
Children 5?12 yrs,HHS Region 3,District of Columbia,2011-12,67.2,(±9.7)
Children 5?12 yrs,HHS Region 3,District of Columbia,2012-13,71.4,(±9.2)
Children 5?12 yrs,HHS Region 3,District of Columbia,2013-14,67.6,(±5.9)
Children 5?12 yrs,HHS Region 3,Maryland,2010-11,67.6,(±7.5)
Children 5?12 yrs,HHS Region 3,Maryland,2011-12,69.2,(±10.3)‡‡
Children 5?12 yrs,HHS Region 3,Maryland,2012-13,73.8,(±7.5)
Children 5?12 yrs,HHS Region 3,Maryland,2013-14,70.3,(±6.3)
Children 5?12 yrs,HHS Region 3,Pennsylvania,2010-11,61.4,(±7.3)
Children 5?12 yrs,HHS Region 3,Pennsylvania,2011-12,56.3,(±5.4)
Children 5?12 yrs,HHS Region 3,Pennsylvania,2012-13,70.1,(±6.4)
Children 5?12 yrs,HHS Region 3,Pennsylvania,2013-14,59.8,(±5.3)
Children 5?12 yrs,HHS Region 3,Virginia,2010-11,55.7,(±6.8)
Children 5?12 yrs,HHS Region 3,Virginia,2011-12,48.6,(±7.9)
Children 5?12 yrs,HHS Region 3,Virginia,2012-13,67.2,(±6.7)
Children 5?12 yrs,HHS Region 3,Virginia,2013-14,66.1,(±5.9)
Children 5?12 yrs,HHS Region 3,West Virginia,2010-11,53.2,(±11.4)‡‡
Children 5?12 yrs,HHS Region 3,West Virginia,2011-12,55,(±8.4)
Children 5?12 yrs,HHS Region 3,West Virginia,2012-13,57.4,(±6.4)
Children 5?12 yrs,HHS Region 3,West Virginia,2013-14,56.1,(±5.5)
Children 5?12 yrs,HHS Region 4,Alabama,2010-11,52.4,(±7.9)
Children 5?12 yrs,HHS Region 4,Alabama,2011-12,44.8,(±7.5)
Children 5?12 yrs,HHS Region 4,Alabama,2012-13,52.1,(±7.4)
Children 5?12 yrs,HHS Region 4,Alabama,2013-14,64.5,(±6.4)
Children 5?12 yrs,HHS Region 4,Florida,2010-11,47.8,(±6.3)
Children 5?12 yrs,HHS Region 4,Florida,2011-12,38.6,(±8.9)
